9.2,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.3,CNSFX - Invesco Convertible Securities Fund Cl R6,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.4,BIOIX - Baron Opportunity Fund Inst Shs,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.5,FTHSX - Fuller & Thaler Behavioral Small-Cap Equity Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.6,CSSPX - Cohen & Steers Global Realty Shares Inc Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.7,GERIX - Goldman Sachs Emerging Mkts Equity Insight Fd IN,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.8,OANMX - Oakmark Fund Institutional Class,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.9,GLIFX - Lazard Global Listed Infrastructure Ptf Insti Sh,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.10,LBFIX - Clearbridge Select Fd I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.11,VWILX - Vanguard International Growth Fund Admiral Share,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.12,BSBIX - Baird Short Term Bond Fund Institutional Class,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.13,JSOSX - Jpmorgan Strategic Income Opportunities Fund I C,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.14,GOBIX - Brandywineglobal - Global Opportunities Bond Fun,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.15,RPIFX - T. Rowe Price Institutional Floating Rate Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9.16,VWIUX - Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
9.17,DVY - Select Dividend Ishares ETF,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10,Grandma Sally's Expand Your Horizon Trust Margaret C Coons,TrustGeneral Trust,Child,,,
10.1,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.2,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.3,CNSFX - Invesco Convertible Securities Fund Cl R6,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.4,BIOIX - Baron Opportunity Fund Inst Shs,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.5,FTHSX - Fuller & Thaler Behavioral Small-Cap Equity Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.6,CSSPX - Cohen & Steers Global Realty Shares Inc Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.7,GERIX - Goldman Sachs Emerging Mkts Equity Insight Fd IN,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.8,OANMX - Oakmark Fund Institutional Class,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.9,GLIFX - Lazard Global Listed Infrastructure Ptf Insti Sh,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.10,LBFIX - Clearbridge Select Fd I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.11,VWILX - Vanguard International Growth Fund Admiral Share,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.12,BSBIX - Baird Short Term Bond Fund Institutional Class,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
