4.11,"STZ - Constellation Brands, Inc.",Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.12,DEO - Diageo plc,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.13,DUK - Duke Energy Corporation,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
4.14,"GS - The Goldman Sachs Group, Inc.",Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$1,001 - $2,500"
4.15,HON - Honeywell International Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.16,JNJ - Johnson & Johnson,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.17,JPM - JPMorgan Chase & Co.,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$15,001 - $50,000"
4.18,KMB - Kimberly-Clark Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.19,LLY - Eli Lilly and Company,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$15,001 - $50,000"
4.20,LMT - Lockheed Martin Corporation,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.21,MA - Mastercard Incorporated,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
4.22,MCD - McDonald's Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.23,MDT - Medtronic plc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.24,MSFT - Microsoft Corporation,Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Dividends, Capital Gains,","$50,001 - $100,000"
4.25,NSRGY - Nestlé S.A.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.26,"NEE - NextEra Energy, Inc.",Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.27,ORCL - Oracle Corporation,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$5,001 - $15,000"
4.28,"PEP - PepsiCo, Inc.",Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.29,PFE - Pfizer Inc.,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
4.30,PM - Philip Morris International Inc.,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
4.31,PG - The Procter & Gamble Company,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.32,QCOM - QUALCOMM Incorporated,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.33,SLF - Sun Life Financial Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.34,TXN - Texas Instruments Incorporated,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$15,001 - $50,000"
4.35,TSCO - Tractor Supply Company,Corporate SecuritiesStock,Joint,"$50,001 - $100,000","Dividends,","$201 - $1,000"
4.36,"TRV - The Travelers Companies, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.37,UNP - Union Pacific Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.38,"UPS - United Parcel Service, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.39,WMT - Walmart Inc.,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$201 - $1,000"
4.40,BIRMINGHAM ALA GO WTS SER (09088RJ31)Rate/Coupon: 5%  Matures: 12/01/2043,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000","Interest,","$1,001 - $2,500"
4.41,CARR - Carrier Global Corporation,Corporate SecuritiesStock,Joint,"$1,001 - $15,000","Dividends,",None (or less than $201)
4.42,BMY - Bristol-Myers Squibb Company,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
4.43,"CTVA - Corteva, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$2,501 - $5,000"
4.44,OTIS - Otis Worldwide Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
4.45,DGX - Quest Diagnostics Incorporated,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
4.46,OC  - Owens Corning Common Stock New,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$15,001 - $50,000"
4.47,CSX - CSX Corp,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends, Capital Gains,","$15,001 - $50,000"
5,"Southern States Bank(Auburn, AL)Type: Checking,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
6,"Fifth Third Bank(Cincinnati, OH)Type: Checking, Savings,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,",None (or less than $201)
7,Alabama Pension,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"Other, (Pension Payment)","Other $47,071.32"
8,University of Miami Pension,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
9,Disney SIP,Retirement PlansIRA,Self,,,
9.1,BTC LifePath Ret F,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","None,",None (or less than $201)
10,LPL Financial Joint Brokerage Account,Brokerage/Managed Account,Joint,,,
10.1,ADBE - Adobe Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.2,GOOG - Alphabet Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.3,AAPL - Apple Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$100,001 - $1,000,000"
10.4,ASML - ASML Holding N.V.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.5,LLY - Eli Lilly and Company,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.6,FDS - FactSet Research Systems Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.7,GRMN - Garmin Ltd.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.8,GNTX - Gentex Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.9,GGG - Graco Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.10,IEX - IDEX Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.11,ITW - Illinois Tool Works Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.12,INTC - Intel Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$100,001 - $1,000,000"
10.13,"JKHY - Jack Henry & Associates, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.14,KLAC - KLA Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.15,LRCX - Lam Research Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.16,MA - Mastercard Incorporated,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.17,MNST - Monster Beverage Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.18,MCO - Moody's Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.19,NVDA - NVIDIA Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.20,"PAYX - Paychex, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.21,"PEP - PepsiCo, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.22,UI - Ubiquiti Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$2,501 - $5,000"
10.23,"VRSK - Verisk Analytics, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.24,V - Visa Inc.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.25,"AMAT - Applied Materials, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.26,GOLD - Barrick Gold Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$100,001 - $1,000,000"
10.27,"CPRT - Copart, Inc.",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.28,INFY - Infosys Limited,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.29,NVO - Novo Nordisk A/S,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$15,001 - $50,000"
10.30,SCCO - Southern Copper Corporation,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.31,"Goldman Sachs Bank USA(New York, New York)Type: Brokerage Sweep Account,",Bank Deposit,Joint,"$1,001 - $15,000","Interest,","$2,501 - $5,000"
10.32,"ADI - Analog Devices, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.33,CTAS - Cintas Corporation - Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.34,CLF - Cleveland-Cliffs Inc. Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$1,000,001 - $5,000,000"
10.35,HSY - The Hershey Company Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.36,"IDXX - IDEXX Laboratories, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.37,KEYS - Keysight Technologies Inc. Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$2,501 - $5,000"
10.38,"MPWR - Monolithic Power Systems, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.39,OXY - Occidental Petroleum Corporation Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.40,"ODFL - Old Dominion Freight Line, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.41,"PYPL - PayPal Holdings, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"$100,001 - $250,000","Capital Gains,","$100,001 - $1,000,000"
10.42,PG - Procter & Gamble Company (The) Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.43,"REGN - Regeneron Pharmaceuticals, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.44,"ROK - Rockwell Automation, Inc. Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.45,"SWKS - Skyworks Solutions, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.46,"SSBK - Southern States Bancshares, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$100,001 - $1,000,000"
10.47,"TER - Teradyne, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.48,WAT - Waters Corporation Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.49,"Goldman Sachs(New York, NY)Type: Money Market Account,",Bank Deposit,Joint,"None (or less than $1,001)","Dividends,",None (or less than $201)
10.50,ABBV - AbbVie Inc. Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.51,AME - Ametek Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.52,AMGN - Amgen Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$15,001 - $50,000"
10.53,"CDNS - Cadence Design Systems, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.54,"CFG - Citizens Financial Group, Inc. Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.55,DOW - Dow Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.56,ELS - Equity Lifestyle Properties,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.57,EXR - Extra Space Storage Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.58,FITB - Fifth Third Bancorp,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.59,"GLPI - Gaming and Leisure Properties, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.60,GOOG - Alphabet Inc. - Class C Capital Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.61,HUMA - Humacyte Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$100,001 - $1,000,000"
10.62,IBM - International Business Machines Corporat,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.63,KEY - Keycorp,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$50,001 - $100,000"
10.64,MMC - Marsh & Mclennan Companies,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.65,MMM - 3M Company,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.66,NDAQ - Nasdaq Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.67,PFE - Pfizer Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.68,PAYC - Paycom Software Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$2,501 - $5,000"
10.69,PHM - Pultegroup,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.70,RACE - Ferrari N.V.,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.71,VRTX - Vertex Pharmaceutic,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.72,WBA - Walgreens Boots Alliance,Corporate SecuritiesStock,Joint,"$15,001 - $50,000","Dividends,","$1,001 - $2,500"
10.73,XOM - Exxon Mobil Corp,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$50,001 - $100,000"
10.74,CVX - Chevron Corporation Common Stock,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$100,001 - $1,000,000"
10.75,"AMD - Advanced Micro Devices, Inc. - Common Stock",Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$15,001 - $50,000"
10.76,ARKK - Ark Innovation ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Capital Gains,","$100,001 - $1,000,000"
10.77,XBI SPDR Series Trust S&P Biotech ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Capital Gains,","$50,001 - $100,000"
10.78,NLR Vaneck Uranium + Nuclear Energy ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$50,001 - $100,000"
10.79,WMS Advanced Drain System Inc DEL,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.80,APH AMPHENOL CORP CLASS A NEW,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.81,AON AON PLC CL A,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.82,ADSK Autodesk Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.83,BMY BRISTOL MYERS SQUIBB COMPANY,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.84,AVGO BROADCOM INC,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$15,001 - $50,000"
10.85,FTNT FORTINET INC,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.86,PAM PAMPA ENERGIA S A SPON ADR LEVEL 1,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.87,PARA Paramount Global CL B,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$100,001 - $1,000,000"
10.88,MCHP Microchip Technology Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.89,NDSN Nordson Corp,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.90,NXPI NXP Semiconductors N V,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
10.91,RMD RESMED INC,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.92,QSR Restaurant Brands INTL Inc,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.93,SSD Simpson Manufacturing Co,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.94,WU Western Union Co,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Dividends, Capital Gains,","$5,001 - $15,000"
10.95,XP XP Inc CL A,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$15,001 - $50,000"
10.96,CBSH - Commerce Bancshares,Corporate SecuritiesStock,Joint,"None (or less than $1,001)","Capital Gains,","$5,001 - $15,000"
