Name,Office (Filer Type),Report Type,Date Received/Filed,Report Link,Annoying,Standard,Filename
"Capito, Shelley M","Capito, Shelley Moore (Senator)",Annual Report for CY 2023,05/09/2024,https://efdsearch.senate.gov/search/view/annual/1fc99b72-3465-4ff7-808c-80b7283cd6d2/,FALSE,TRUE,senate_reports/senate_reports_1731547511
"Cardin, Benjamin L","Cardin, Benjamin L. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/3e3a7b84-38b9-49ab-80a8-89622e29b6f8/,FALSE,TRUE,senate_reports/senate_reports_1731547512
"Carper, Thomas R","Carper, Thomas R. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/04db916f-2633-4633-ac3d-3fbda2e9c134/,FALSE,TRUE,senate_reports/senate_reports_1731547513
"Casey, Jr., Robert P","Casey, Robert P. Jr. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/f80907e1-7f43-4db1-8dda-28d885483742/,FALSE,TRUE,senate_reports/senate_reports_1731547514
"Cassidy, William","Cassidy, Bill (Senator)",Annual Report for CY 2023,05/06/2024,https://efdsearch.senate.gov/search/view/annual/878c4bde-388b-453b-8a38-b753aa618074/,FALSE,TRUE,senate_reports/senate_reports_1731547515
"Cassidy, William","Cassidy, Bill (Senator)",Annual Report for CY 2022 (Amendment 1),05/06/2024,https://efdsearch.senate.gov/search/view/annual/b2483597-0ef3-484d-b431-0aef41d5593f/,FALSE,TRUE,senate_reports/senate_reports_1731547516
"Collins, Susan M","Collins, Susan M. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/f2f01d23-0af5-4958-984c-e97e7b2f8544/,FALSE,TRUE,senate_reports/senate_reports_1731547517
"Coons, Christopher A","Coons, Chris (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/dd3245e1-b4c3-4196-882a-4012cf2bd524/,FALSE,TRUE,senate_reports/senate_reports_1731547521
"Cornyn, John","Cornyn, John (Senator)",Annual Report for CY 2023,05/13/2024,https://efdsearch.senate.gov/search/view/annual/7f1d97b6-ee67-4358-8116-9d20d440f90b/,FALSE,TRUE,senate_reports/senate_reports_1731547523
"Cortez Masto, Catherine","Cortez Masto, Catherine (Senator)",Annual Report for CY 2023,08/04/2024,https://efdsearch.senate.gov/search/view/annual/a8706c27-3a15-492e-8d3b-86a35d631ce0/,FALSE,TRUE,senate_reports/senate_reports_1731547524
"Cotton, Tom","Cotton, Tom (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/1ecc063e-2ddb-467a-a938-c6f677662b95/,FALSE,TRUE,senate_reports/senate_reports_1731547525
"Cramer, Kevin J","Cramer, Kevin (Senator)",Annual Report for CY 2023,03/15/2024,https://efdsearch.senate.gov/search/view/annual/9025ef30-3182-4f55-98fd-cdf184ddd34b/,FALSE,TRUE,senate_reports/senate_reports_1731547526
"Crapo, Michael D","Crapo, Michael D. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/0e3b35aa-e3be-4524-a1d0-00f8f10c2fe2/,FALSE,TRUE,senate_reports/senate_reports_1731547527
"Cruz, Rafael E","Cruz, Ted (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/9675a1d6-d0cc-48bb-b0ee-fb1b99c3de0d/,FALSE,TRUE,senate_reports/senate_reports_1731547528
"Cruz, Rafael E","Cruz, Ted (Senator)",Annual Report for CY 2022 (Amendment 1),08/16/2024,https://efdsearch.senate.gov/search/view/annual/b6ab044e-3538-44f9-bd9d-1939608cec72/,FALSE,TRUE,senate_reports/senate_reports_1731547530
"Daines, Steve","Daines, Steve (Senator)",Annual Report for CY 2023,05/08/2024,https://efdsearch.senate.gov/search/view/annual/a9295e86-a2ec-426f-a3e7-ef5329e2a227/,FALSE,TRUE,senate_reports/senate_reports_1731547531
"Daines, Steve","Daines, Steve (Senator)",Annual Report for CY 2023 (Amendment 1),11/12/2024,https://efdsearch.senate.gov/search/view/annual/d2075cc1-1cdb-4caf-83d2-34841ab7f3ab/,FALSE,TRUE,senate_reports/senate_reports_1731547532
"Duckworth, Ladda Tammy","Duckworth, Tammy (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/014b5055-8073-451f-8dcb-d7eec191e51a/,FALSE,TRUE,senate_reports/senate_reports_1731547533
"Duckworth, Ladda Tammy","Duckworth, Tammy (Senator)",Annual Report for CY 2023 (Amendment 1),10/01/2024,https://efdsearch.senate.gov/search/view/annual/d79217f7-7ed7-42d1-8b13-ea062c910346/,FALSE,TRUE,senate_reports/senate_reports_1731547534
"DURBIN, RICHARD J",Senator,Annual Report,08/01/2024,https://efdsearch.senate.gov/search/view/paper/7d9d262c-64d6-4a65-adb5-59127dae1bb0/,TRUE,FALSE,senate_reports/senate_reports_1731547536
"Ernst, Joni K","Ernst, Joni (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/db76aaa0-c2ec-49a1-8a5f-87c2ec97d22e/,FALSE,TRUE,senate_reports/senate_reports_1731547537
"Fetterman, John","Fetterman, John (Senator)",Candidate Report (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/0ee12bcf-b3c0-4685-a83e-8156b2636cb4/,FALSE,TRUE,senate_reports/senate_reports_1731547538
"Fetterman, John","Fetterman, John (Senator)",Annual Report for CY 2022 (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/8b81adfd-9bce-4bc3-bdcf-12240efb9638/,FALSE,TRUE,senate_reports/senate_reports_1731547539
