,First Name (Middle),Last Name (Suffix),Office (Filer Type),Report Type,Date Received/Filed,Report URL
82,Thomas J,Ossoff,"Ossoff, Jon (Senator)",Annual Report for CY 2022 (Amendment 1),05/15/2024,https://efdsearch.senate.gov/search/view/annual/d63964c8-1c58-4b57-ad35-07e1a6104dc4/
83,Thomas J,Ossoff,"Ossoff, Jon (Senator)",Annual Report for CY 2021 (Amendment 1),05/15/2024,https://efdsearch.senate.gov/search/view/annual/9fd98fbe-9613-4aa9-896a-b8ba0e250c50/
84,Thomas J,Ossoff,"Ossoff, Jon (Senator)",Candidate Report (Amendment 2),05/15/2024,https://efdsearch.senate.gov/search/view/annual/0262a4ac-8042-4c39-b798-b85edc8ceba3/
85,Thomas J,Ossoff,"Ossoff, Jon (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/a14df483-dd72-4266-98a2-09b9c7f8d1dc/
86,Thomas J,Ossoff,"Ossoff, Jon (Senator)",Candidate Report (Amendment 3),05/15/2024,https://efdsearch.senate.gov/search/view/annual/75543d83-83fc-474b-b46e-b91d74b436c6/
87,Alex,Padilla,"Padilla, Alex (Senator)",Annual Report for CY 2023,08/07/2024,https://efdsearch.senate.gov/search/view/annual/ca0fa419-d659-4a70-88f1-04687560399a/
88,Rand,Paul,"Paul, Rand (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/26b5e9a7-ce61-4034-9963-3e452816c87e/
89,Gary C,Peters,"Peters, Gary (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/9adef51e-91a1-467f-a89a-f9279fe51b5d/
90,John F,Reed,"Reed, John F. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/d376b366-77d2-46d9-9393-82dc40d91e73/
91,John F,Reed,"Reed, John F. (Senator)",Annual Report for CY 2023 (Amendment 1),09/25/2024,https://efdsearch.senate.gov/search/view/annual/d8307d1c-f850-4e59-bed6-58141608e9c9/
92,John P,Ricketts,"Ricketts, Pete (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2eb83de2-c457-4a61-a902-7810952db2d1/
93,James E,Risch,"Risch, James E. (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/6231982e-5f6c-4e56-bffb-b40ccd38397b/
94,W. Mitt,Romney,"Romney, Mitt (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/fe4735ee-8675-4ef8-9408-6c87340f1d81/
95,Jacklyn S,Rosen,"Rosen, Jacky (Senator)",Annual Report for CY 2023,07/26/2024,https://efdsearch.senate.gov/search/view/annual/f773ab4e-abed-426c-9c17-95a91cc78412/
96,JACKLYN S,ROSEN,Senator,Annual Report (Amendment),07/26/2024,https://efdsearch.senate.gov/search/view/paper/20bdeae0-6664-468d-8a68-f7d6604ed7dd/
97,M. Michael,Rounds,"Rounds, Mike (Senator)",Annual Report for CY 2021 (Amendment 1),05/22/2024,https://efdsearch.senate.gov/search/view/annual/037bf296-b21a-4eec-acc6-fd73cf7d9edd/
98,M. Michael,Rounds,"Rounds, Mike (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/157efca4-3dd9-4fa1-9f76-28801e38d12d/
99,M. Michael,Rounds,"Rounds, Mike (Senator)",Annual Report for CY 2022 (Amendment 1),05/22/2024,https://efdsearch.senate.gov/search/view/annual/4e3d5ac3-c9c5-471f-b048-48ce77b46373/
100,Marco,Rubio,"Rubio, Marco (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/45f8d47c-fa4b-4a5d-b810-33bf8e7e521b/
101,Bernard,Sanders,"Sanders, Bernard (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/c69e42e6-1c9c-44d9-b097-60be798b8661/
102,Brian E,Schatz,"Schatz, Brian (Senator)",Annual Report for CY 2023,07/31/2024,https://efdsearch.senate.gov/search/view/annual/c0bab3b6-4e45-4318-8f17-f06d7efbec4b/
103,Brian E,Schatz,"Schatz, Brian (Senator)",Annual Report for CY 2021 (Amendment 1),07/31/2024,https://efdsearch.senate.gov/search/view/annual/3d2cb46f-6a6c-4f70-85c9-c75c560b8154/
104,Brian E,Schatz,"Schatz, Brian (Senator)",Annual Report for CY 2022 (Amendment 1),07/31/2024,https://efdsearch.senate.gov/search/view/annual/00f71836-15dd-46c9-b884-254e5479891e/
105,Eric,Schmitt,"Schmitt, Eric (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/b86d9173-de3a-4f1c-bf2c-29b7f956ba4f/
106,Eric,Schmitt,"Schmitt, Eric (Senator)",Annual Report for CY 2022 (Amendment 2),08/13/2024,https://efdsearch.senate.gov/search/view/annual/df3f0db2-76df-4b34-88d7-213ec6288ce8/
107,Charles E,Schumer,"Schumer, Charles E. (Senator)",Annual Report for CY 2023,05/08/2024,https://efdsearch.senate.gov/search/view/annual/bdc5113d-5891-462e-9501-ad2e5a697d51/
108,Rick,Scott,"Scott, Rick (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/f1c73d96-7e08-4a24-bd97-ec0b085782b8/
109,Tim,Scott,"Scott, Tim (Senator)",Annual Report for CY 2023,05/13/2024,https://efdsearch.senate.gov/search/view/annual/9e7b377c-4514-4ab5-90db-9e76d43c4b30/
110,Jeanne,Shaheen,"Shaheen, Jeanne (Senator)",Annual Report for CY 2023,08/07/2024,https://efdsearch.senate.gov/search/view/annual/952e43aa-f40c-4311-b8f1-b08d3e8ff097/
111,Kyrsten,Sinema,"Sinema, Kyrsten (Senator)",Annual Report for CY 2023,04/23/2024,https://efdsearch.senate.gov/search/view/annual/eb37d9be-fe95-4680-a93d-8e22b7f887cc/
112,Tina,Smith,"Smith, Tina (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/34de9852-21e9-45db-9975-8e7b4b4194af/
113,Debbie,Stabenow,"Stabenow, Debbie A. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2a07642e-57d6-482c-abf1-71b5416afa66/
114,Daniel S,Sullivan,"Sullivan, Dan (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/d312120e-0f6d-4d85-89f6-7aa083037537/
115,Raymond J,Tester,"Tester, Jon (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/d8a0617f-2a28-465f-933c-21f67dbdce0d/
116,John R,Thune,"Thune, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/0ffe1984-35f3-4389-a4c0-90025790ce96/
117,Thomas R,Tillis,"Tillis, Thom (Senator)",Annual Report for CY 2023,08/09/2024,https://efdsearch.senate.gov/search/view/annual/5f91f59d-3962-48bd-a19f-fa97f502642f/
118,Thomas H,Tuberville,"Tuberville, Tommy (Senator)",Annual Report for CY 2023,07/31/2024,https://efdsearch.senate.gov/search/view/annual/9fd713f6-2903-424f-9069-385bcfd463b4/
119,JD,Vance,"Vance, J.D. (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/2f2f5bbc-50c5-4b00-acd9-85870f9e349c/
120,JD,VANCE,Senator,Annual Report (Amendment),08/06/2024,https://efdsearch.senate.gov/search/view/paper/478aa90c-8f73-4e84-8010-bcd4bdb8d992/
121,CHRIS,VAN HOLLEN,Senator,Annual Report,05/15/2024,https://efdsearch.senate.gov/search/view/paper/249d9537-fc4e-4331-8bb2-a1949ea71805/
122,Mark R,Warner,"Warner, Mark (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/3e6d6b43-dd61-4594-813e-1c35ce99c58b/
123,Raphael,Warnock,"Warnock, Raphael (Senator)",Annual Report for CY 2023 (Amendment 1),08/20/2024,https://efdsearch.senate.gov/search/view/annual/39bb13a4-a81f-44af-8869-8f6476e88fde/
124,Raphael,Warnock,"Warnock, Raphael (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/4cca582f-16be-46f4-8378-744ad9b46c67/
125,Elizabeth,Warren,"Warren, Elizabeth (Senator)",Annual Report for CY 2023,04/05/2024,https://efdsearch.senate.gov/search/view/annual/bcaf0292-332d-4c94-8303-1935043c16cf/
126,Peter,Welch,"Welch, Peter (Senator)",Annual Report for CY 2023,04/30/2024,https://efdsearch.senate.gov/search/view/annual/7ed9a0a2-7cd3-4c92-bb28-b371d8459e8a/
127,Sheldon,Whitehouse,"Whitehouse, Sheldon (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/1eb0d806-fa8f-44bd-a693-910e67cad938/
128,Roger F,Wicker,"Wicker, Roger (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2f301679-7bb3-43a7-8adc-86dd7b13ddd9/
129,Ron L,Wyden,"Wyden, Ron (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/ed172e8b-cb21-4759-8a1c-7b7125fc3454/
130,Ron L,Wyden,"Wyden, Ron (Senator)",Annual Report for CY 2022 (Amendment 1),05/15/2024,https://efdsearch.senate.gov/search/view/annual/fa1783ce-c2c6-414a-91c2-5f660caeb8a0/
131,Todd,Young,"Young, Todd (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/f40dcd83-4a4a-47b5-bb52-2ef517870c7f/
132,Elizabeth,Warren,"Warren, Elizabeth (Senator)",Annual Report for CY 2023,04/05/2024,https://efdsearch.senate.gov/search/view/annual/bcaf0292-332d-4c94-8303-1935043c16cf/
133,Peter,Welch,"Welch, Peter (Senator)",Annual Report for CY 2023,04/30/2024,https://efdsearch.senate.gov/search/view/annual/7ed9a0a2-7cd3-4c92-bb28-b371d8459e8a/
134,Sheldon,Whitehouse,"Whitehouse, Sheldon (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/1eb0d806-fa8f-44bd-a693-910e67cad938/
135,Roger F,Wicker,"Wicker, Roger (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2f301679-7bb3-43a7-8adc-86dd7b13ddd9/
136,Ron L,Wyden,"Wyden, Ron (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/ed172e8b-cb21-4759-8a1c-7b7125fc3454/
137,Ron L,Wyden,"Wyden, Ron (Senator)",Annual Report for CY 2022 (Amendment 1),05/15/2024,https://efdsearch.senate.gov/search/view/annual/fa1783ce-c2c6-414a-91c2-5f660caeb8a0/
138,Todd,Young,"Young, Todd (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/f40dcd83-4a4a-47b5-bb52-2ef517870c7f/
